Designator,Mid X,Mid Y,Rotation,Layer
BZ1,43.55,-98.7,0.0,bottom
C1,62.55,-53.975,180.0,bottom
C10,42.65,-33.55,0.0,bottom
C2,62.55,-56.175,180.0,bottom
C25,41.725,-22.75,90.0,bottom
C26,43.425,-22.75,90.0,bottom
C27,58.15,-48.45,270.0,bottom
C28,63.9,-48.5,270.0,bottom
C29,47.1,-95.1,0.0,top
C3,62.55,-51.9,180.0,bottom
C33,35.8875,-33.2125,0.0,bottom
C34,31.0,-41.1,90.0,bottom
C35,41.2,-49.5,180.0,bottom
C36,38.7,-55.8,90.0,bottom
C37,31.05,-52.0,270.0,bottom
C4,54.2,-47.525,0.0,bottom
C5,46.2,-48.9,270.0,bottom
C6,49.95,-47.75,180.0,bottom
C62,59.05,-70.0,90.0,bottom
C63,36.9,-70.85,90.0,bottom
C65,63.45,-71.6,180.0,bottom
C66,32.34,-71.61,0.0,bottom
C8,42.65,-35.4,0.0,bottom
C9,65.2,-31.5,90.0,bottom
D1,63.05,-58.7,180.0,bottom
D13,63.053751,-34.806667,90.0,top
D14,48.0575,-48.633333,90.0,top
D15,63.053751,-48.633333,270.0,top
D16,48.0575,-34.806667,270.0,top
D17,48.0575,-62.4475,90.0,top
D18,48.0575,-20.98,90.0,top
D19,63.053751,-20.98,90.0,top
D2,57.575,-55.625,0.0,bottom
D20,33.0525,-48.633333,270.0,top
D21,45.95,-53.2,270.0,bottom
D22,50.55,-96.95,0.0,bottom
D23,61.2,-87.2,90.0,bottom
D24,33.0525,-20.98,90.0,top
D25,33.0525,-62.4475,90.0,top
D26,33.0525,-34.806667,90.0,top
D27,63.053751,-62.4475,90.0,top
D3,39.55,-69.6,90.0,bottom
D4,47.45,-92.9947,0.0,top
D5,49.2,-100.2,90.0,bottom
D6,62.025,-68.7,180.0,bottom
D7,33.675,-68.7,180.0,bottom
J10,30.35,-29.74,0.0,top
J11,30.35,-27.47,0.0,top
J12,30.35,-25.2,0.0,top
J13,30.425,-22.93,0.0,top
J14,35.82,-19.075,0.0,top
J15,38.09,-19.075,0.0,top
J16,40.36,-19.075,0.0,top
J17,42.63,-19.075,0.0,top
J18,30.2,-86.9,0.0,top
J2,49.65,-104.8,90.0,bottom
J20,44.9,-19.0,0.0,top
J23,65.8,-86.9,0.0,top
J24,65.8,-22.93,0.0,top
J25,65.8,-25.2,0.0,top
J3,48.050007,-62.0,0.0,bottom
J7,30.35,-36.55,0.0,top
J8,30.35,-34.28,0.0,top
J9,30.35,-32.01,0.0,top
K2,48.58,-89.19,90.0,bottom
L1,51.425,-51.575,0.0,bottom
Q13,54.35,-96.5375,180.0,bottom
Q2,52.6,-100.7375,180.0,bottom
Q3,34.0,-86.7,270.0,bottom
R10,56.55,-49.6,270.0,bottom
R11,42.1,-30.95,90.0,bottom
R12,57.85,-99.8,0.0,bottom
R13,43.85,-45.8,0.0,bottom
R14,43.15,-31.25,90.0,bottom
R15,65.2,-35.65,90.0,bottom
R16,44.2,-31.25,90.0,bottom
R17,36.0,-31.9,0.0,bottom
R2,49.95,-55.45,0.0,bottom
R20,33.15,-30.475,90.0,bottom
R22,50.55,-95.35,180.0,bottom
R23,63.45,-70.5,0.0,bottom
R24,32.36,-70.525,180.0,bottom
R27,63.35,-81.65,180.0,bottom
R28,35.65,-80.1,0.0,bottom
R29,33.0,-84.15,180.0,bottom
R3,53.425,-55.625,180.0,bottom
R30,35.35,-84.15,0.0,bottom
R4,65.2,-29.45,90.0,bottom
R45,58.2,-96.55,90.0,bottom
R46,61.275,-70.525,180.0,bottom
R47,34.945,-70.525,0.0,bottom
R48,38.75,-50.0,270.0,bottom
R5,43.85,-44.75,0.0,bottom
R51,34.55,-23.375,270.0,bottom
R52,43.25,-28.375,270.0,bottom
R53,32.85,-23.375,270.0,bottom
R54,31.1,-58.6,270.0,bottom
R55,38.7,-53.3,270.0,bottom
R56,33.75,-58.25,0.0,bottom
R57,61.275,-71.6,0.0,bottom
R58,55.85,-100.75,270.0,bottom
R59,34.945,-71.62,180.0,bottom
R6,57.85,-101.05,0.0,bottom
R60,34.375,-21.0,90.0,top
R61,34.375,-62.4275,270.0,top
R62,34.375,-34.826667,90.0,top
R63,61.7,-62.4275,90.0,top
R65,61.7,-34.826667,90.0,top
R66,49.4,-48.653333,90.0,top
R67,61.7,-48.653333,270.0,top
R68,46.7,-34.826667,90.0,top
R69,46.6,-62.4675,90.0,top
R7,57.85,-102.25,0.0,bottom
R70,49.4,-21.0,90.0,top
R71,61.7,-21.0,90.0,top
R75,34.375,-48.653333,270.0,top
R8,43.85,-38.7,0.0,bottom
U1,61.0875,-48.55,270.0,bottom
U11,41.4075,-53.05,180.0,bottom
U15,35.7,-37.0125,270.0,bottom
U16,34.8,-52.25,180.0,bottom
U17,35.7,-43.6,270.0,bottom
U2,57.75,-52.5,0.0,bottom
U3,54.825,-32.53,0.0,bottom
U5,37.55,-29.4476,270.0,bottom
U6,47.940007,-75.5,0.0,bottom
U7,63.35,-76.55,180.0,bottom
U8,32.825,-76.55,180.0,bottom
