Designator,Mid X,Mid Y,Rotation,Layer
BZ1,43.55,-98.7,0.0,bottom
C1,57.57,-69.15,270.0,bottom
C10,54.5,-53.8,0.0,bottom
C11,48.35,-29.925,0.0,bottom
C12,57.85,-23.375,180.0,bottom
C13,53.2,-30.675,270.0,bottom
C14,57.85,-21.475,180.0,bottom
C2,55.47,-69.15,270.0,bottom
C25,41.65,-23.775,90.0,bottom
C26,43.25,-23.775,90.0,bottom
C27,57.7625,-56.15,270.0,bottom
C28,63.8125,-56.2,270.0,bottom
C29,46.85,-95.35,0.0,top
C3,53.35,-69.15,270.0,bottom
C33,30.95,-42.2625,270.0,bottom
C34,30.95,-52.45,270.0,bottom
C35,49.15,-55.15,270.0,bottom
C36,41.55,-55.05,0.0,bottom
C37,30.95,-64.075,270.0,bottom
C4,55.15,-62.05,180.0,bottom
C5,51.55,-58.95,90.0,bottom
C6,53.75,-58.95,90.0,bottom
C62,40.85,-62.75,0.0,bottom
C63,41.05,-57.95,0.0,bottom
C65,47.515,-67.15,0.0,bottom
C66,44.0,-67.15,0.0,bottom
C7,55.95,-58.95,90.0,bottom
C73,61.45,-26.575,0.0,bottom
C74,57.35,-31.875,0.0,bottom
C76,61.45,-24.775,180.0,bottom
C77,61.45,-31.475,0.0,bottom
C78,61.45,-21.575,180.0,bottom
C79,61.45,-29.875,0.0,bottom
C8,54.5,-55.65,0.0,bottom
C80,61.45,-23.175,180.0,bottom
C81,61.45,-28.275,180.0,bottom
C82,47.225,-21.875,0.0,bottom
C83,46.9,-27.7,0.0,bottom
C9,50.9,-53.4,180.0,bottom
D1,61.8,-71.0,180.0,bottom
D13,62.6,-46.4875,270.0,top
D14,47.6,-62.4475,90.0,top
D15,62.6,-62.4475,270.0,top
D16,47.6,-46.4875,270.0,top
D17,47.6,-78.447502,90.0,top
D18,47.6,-30.45,90.0,top
D19,62.6,-30.45,90.0,top
D2,61.8,-68.5,180.0,bottom
D20,32.59,-62.4475,270.0,top
D21,40.2125,-69.88,270.0,bottom
D22,50.55,-96.95,0.0,bottom
D23,61.2,-87.2,90.0,bottom
D24,32.59,-30.45,270.0,top
D25,32.59,-78.447502,270.0,top
D26,32.59,-46.4875,270.0,top
D27,62.6,-78.447502,270.0,top
D3,33.2,-73.4625,270.0,bottom
D4,47.45,-92.9947,0.0,top
D5,49.2,-100.2,90.0,bottom
D6,49.5,-70.65,180.0,bottom
D7,44.5,-70.65,0.0,bottom
J10,30.35,-28.175,0.0,top
J11,30.35,-25.775,0.0,top
J12,30.35,-23.375,0.0,top
J13,35.2,-20.1,0.0,top
J14,37.6,-20.1,0.0,top
J15,40.0,-20.1,0.0,top
J16,42.35,-20.1,0.0,top
J17,44.75,-20.1,0.0,top
J18,30.2,-86.9,0.0,top
J19,64.95,-23.375,0.0,top
J2,49.65,-104.8,90.0,bottom
J20,47.15,-20.1,0.0,top
J21,64.95,-25.775,0.0,top
J22,64.95,-28.175,0.0,top
J23,64.95,-86.9,0.0,top
J3,47.6,-77.5,0.0,bottom
J7,30.35,-35.4,0.0,top
J8,30.35,-32.975,0.0,top
J9,30.35,-30.575,0.0,top
K2,48.58,-89.19,90.0,bottom
L1,61.25,-62.75,90.0,bottom
L4,57.4125,-28.175,180.0,bottom
L5,57.4125,-29.975,180.0,bottom
Q13,54.35,-96.5375,180.0,bottom
Q2,52.6,-100.7375,180.0,bottom
Q3,32.85,-86.75,270.0,bottom
R10,50.85,-63.05,180.0,bottom
R11,43.75,-29.9,180.0,bottom
R12,57.9,-99.85,0.0,bottom
R13,37.55,-37.85,0.0,bottom
R14,43.76,-31.05,180.0,bottom
R15,36.55,-34.75,0.0,bottom
R16,36.55,-33.6,0.0,bottom
R17,34.675,-33.725,270.0,bottom
R18,57.85,-24.975,0.0,bottom
R19,57.85,-26.475,180.0,bottom
R2,50.75,-65.25,0.0,bottom
R20,33.15,-30.475,90.0,bottom
R22,50.55,-95.35,180.0,bottom
R23,49.9,-68.45,0.0,bottom
R24,43.15,-68.45,180.0,bottom
R27,40.1,-64.45,270.0,bottom
R28,40.375,-59.625,270.0,bottom
