Altium Designer Pick and Place Locations
C:\Users\hp\Desktop\Barfas_Projects\Barfas_Projects\myProjects\4_KNX\Hardware\Imported\KNX-RELAY-8CH_V1.2\ASSY-FILES\Pick Place\Pick Place for KNX-RELAY-8CH_V1.2.csv

========================================================================================================================
File Design Information:

Date:       27.07.26
Time:       23:09
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"Q24","2N7002ET1G","BottomLayer","SOT-23","98.2683","113.8426","0",""
"Q26","2N7002ET1G","BottomLayer","SOT-23","98.2683","130.4926","0",""
"Q30","2N7002ET1G","BottomLayer","SOT-23","97.6068","164.1443","0",""
"R75","10K","BottomLayer","R_0603_1608Metric","102.5683","124.4801","270",""
"Q3","2N7002ET1G","BottomLayer","SOT-23","103.6000","167.8000","180",""
"R66","10K","BottomLayer","R_0603_1608Metric","98.8183","104.1068","90",""
"R65","1K","BottomLayer","R_0603_1608Metric","106.9683","103.2301","180",""
"C12","100nF","BottomLayer","C_0603_1608Metric","100.4183","137.4301","90",""
"Q27","2N7002ET1G","BottomLayer","SOT-23","98.2683","124.3926","0",""
"R89","33R","BottomLayer","R_0603_1608Metric","91.6183","91.7943","270",""
"R62","10K","BottomLayer","R_0603_1608Metric","98.8183","120.7443","90",""
"R60","1K","BottomLayer","R_0603_1608Metric","96.2895","135.7158","0",""
"R64","1K","BottomLayer","R_0603_1608Metric","96.2895","118.4301","0",""
"R80","1K","BottomLayer","R_0603_1608Metric","99.9183","161.1301","0",""
"Q21","2N7002ET1G","BottomLayer","SOT-23","103.2471","134.0318","180",""
"R35","10K","BottomLayer","R_0603_1608Metric","98.8183","154.1568","90",""
"C17","100nF","BottomLayer","C_0603_1608Metric","100.4183","117.2443","90",""
"U17","74HC595PW,118","BottomLayer","TSSOP-16_4.4x5mm_P0.65mm","96.8683","97.7801","90",""
"R71","10K","BottomLayer","R_0603_1608Metric","102.5683","107.9801","270",""
"Q31","2N7002ET1G","BottomLayer","SOT-23","98.1971","158.2068","0",""
"R78","10K","BottomLayer","R_0603_1608Metric","102.5971","147.1301","270",""
"R59","10K","BottomLayer","R_0603_1608Metric","98.8183","150.6943","90",""
"R69","1K","BottomLayer","R_0603_1608Metric","96.2895","116.6801","0",""
"C25","100nF","BottomLayer","C_0603_1608Metric","101.0471","158.2943","270",""
"C22","100nF","BottomLayer","C_0603_1608Metric","101.0471","147.1301","270",""
"R56","1K","BottomLayer","R_0603_1608Metric","96.2895","151.9301","0",""
"C33","100nF/50V","BottomLayer","C_0603_1608Metric","106.3683","98.4801","90",""
"Q28","2N7002ET1G","BottomLayer","SOT-23","98.1971","147.0426","0",""
"R82","10K","BottomLayer","R_0603_1608Metric","102.5000","164.2000","270",""
"Z2","6.8V","BottomLayer","D_MiniMELF","93.9721","174.6693","0",""
"C20","100nF","BottomLayer","C_0603_1608Metric","101.0183","130.5801","270",""
"C16","100nF","BottomLayer","C_0603_1608Metric","100.4183","104.1068","90",""
"R79","10K","BottomLayer","R_0603_1608Metric","102.5683","141.4176","270",""
"R88","33R","BottomLayer","R_0603_1608Metric","108.2683","91.7943","270",""
"C19","100nF","BottomLayer","C_0603_1608Metric","101.0183","107.9801","270",""
