Altium Designer Pick and Place Locations
C:\Users\hp\Desktop\Barfas_Projects\Barfas_Projects\myProjects\4_KNX\Hardware\Imported\KNX_Relay_16CH_V1.2\ASSY-FILES\Pick Place\Pick Place for KNX_Relay_16CH_V1.2.csv

========================================================================================================================
File Design Information:

Date:       27.07.26
Time:       23:16
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C4","1500uf/35V","TopLayer","CP_Radial_D12.5mm_P5.00mm","32.9000","144.8000","270",""
"C38","100nF","BottomLayer","C_0603_1608Metric","44.0900","59.2400","90",""
"Q24","2N7002ET1G","BottomLayer","SOT-23","43.5000","69.3400","0",""
"Q26","2N7002ET1G","BottomLayer","SOT-23","43.5000","55.9150","0",""
"R117","10K","BottomLayer","R_0603_1608Metric","42.4200","32.3900","90",""
"Q30","2N7002ET1G","BottomLayer","SOT-23","43.3500","27.9900","0",""
"R110","10K","BottomLayer","R_0603_1608Metric","42.2200","65.9900","90",""
"R75","10K","BottomLayer","R_0603_1608Metric","48.2000","49.4275","270",""
"Q3","2N7002ET1G","BottomLayer","SOT-23","43.5000","119.2525","0",""
"Q32","2N7002ET1G","BottomLayer","SOT-23","35.0000","139.5525","0",""
"R66","10K","BottomLayer","R_0603_1608Metric","48.1300","82.8275","270",""
"R87","33R","BottomLayer","R_0603_1608Metric","54.4500","9.3900","270",""
"Z2","6.8V","BottomLayer","D_MiniMELF","39.6700","144.5150","0",""
"C12","100nF","BottomLayer","C_0603_1608Metric","46.4500","111.8900","270",""
"Q27","2N7002ET1G","BottomLayer","SOT-23","43.5000","49.3400","0",""
"R92","1K","BottomLayer","R_0603_1608Metric","52.0500","108.4400","180",""
"Q38","2N7002ET1G","BottomLayer","SOT-23","47.3500","93.5900","180",""
"C31","100nF","BottomLayer","C_0603_1608Metric","44.5500","93.4900","90",""
"R62","10K","BottomLayer","R_0603_1608Metric","48.1300","97.0400","270",""
"R60","1K","BottomLayer","R_0603_1608Metric","53.0000","90.4900","180",""
"C37","100nF","BottomLayer","C_0603_1608Metric","44.0400","79.4400","90",""
"R80","1K","BottomLayer","R_0603_1608Metric","37.6500","23.0900","0",""
"Q21","2N7002ET1G","BottomLayer","SOT-23","43.5000","89.9150","0",""
"R35","10K","BottomLayer","R_0603_1608Metric","48.1500","123.0400","270",""
"C17","100nF","BottomLayer","C_0603_1608Metric","46.4500","76.0400","270",""
"Q41","2N7002ET1G","BottomLayer","SOT-23","47.6000","59.2400","180",""
"R102","10K","BottomLayer","R_0603_1608Metric","42.7800","93.4900","90",""
