Qty,Reference,Value,Description,MF,MP,Package,Exclude from BOM
1,SW1,SW_Push,,,,,
1,D11,Led_Green,20mA 2.5V Green 3mm Round Lens 60mW,TUOZHAN,TZ-L2-03YYBYG1GDJ30-001,"Through Hole,D=3mm",
1,U1,NCN5130MNTWG,"3.13V~3.47V 4mA QFN-40-EP(6x6) Drivers, Receivers, Transceivers RoHS",onsemi,NCN5130MNTWG,QFN-40-EP(6x6),
1,IC1,R7FA2L1AB3CFM,ARM Cortex-M23 32 Bit 48MHz 53 LFQFP-64(10x10) Microcontrollers RoHS,RENESAS,R7FA2L1AB3CFM,LFQFP-64(10x10),
5,"C3,C4,C5,C6,C21",100nF,CAP CER 100nF 50V X7R 0603,YAGEO,CC0603KRX7R9BB104  ,C_0603,
6,"C12,C13,C17,C18,C23,C24",100nF,CAP CER 100nF 50V X7R 0603,Samsung Electro-Mechanics,CL10B104KB8NNNC,C_0603,
2,"C19,C20",10pF,CAP CER 10pF 50V C0G 0603,Samsung Electro-Mechanics,CL10C100JB8NNNC,C0603,
2,"C15,C16",10uF,CAP CER 10uF 16V X7R 0805,Samsung Electro-Mechanics,CL21B106KOQNNNE,C_0805,
2,"C8,C9",15pF,CAP CER 15pF 50V C0G 0603,Samsung Electro-Mechanics,CL10C150JB8NNNC,C0603,
2,"C2,C14",1uF,CAP CER 1uF 10V X7R 0603,Samsung Electro-Mechanics,CL10B105KP8NNNC,C_0603,
1,C7,2.2uF,CAP CER 2.2uF 10V X7R 0603,Samsung Electro-Mechanics,CL10B225KP8NNNC,C_0603,
1,C11,220nF,CAP CER 220nF 50V X7R 0603,Samsung Electro-Mechanics,CL10B224KB8NNNC,C_0603,
1,C1,4.7uF,CAP CER 4.7uF 6.3V X7R 0603,Samsung Electro-Mechanics,CL10B475KQ8NQNC,C_0603,
1,C22,100uF,CAP.EL.100uF 35V 8x10 105C 3000H AEC-Q200 SMT,SUSCON,CD035M101F10PKKKV00A,Radial D8 L10,
1,C28,470uf/16V,"capacitor, US symbol",,,,Excluded from BOM
1,L4,50474C,CMC 470uH 700mA 2LN SMD,muRata,50474C,"SMD-4P,7x5.9mm",
1,J1,L-KLS8-2170-13,CONNECTOR PC PIN CIRC .041DIA 12.56MM TIN,KLS ELECTRONIC,L-KLS8-2170-13  ,THT V/T ,
1,Y2,16Mhz,CRYSTAL 16MHz 10pF SMD,RALTRON  ,RH100-16.000-10-1010-EXT,4-SMD,
1,Y1,20Mhz,CRYSTAL 20MHz 3.2X2.5 4PIN 10pF SMD RALTRON, RALTRON,FL3P2X2P5SSC ,4-SMD 3225,
1,D3,SS28,DIODE SCHOTTKY 1A 80V DO214AC (SMA), HOTTECH,SS18-HT  ,DO214AC (SMA),
1,D2,SMAJ40CA-HT,DIODE TVS 400W 40V DO214AC SMA,HOTTECH,SMAJ40CA-HT  ,DO214AC (SMA) ,
1,SW2,SW_Push,"Height 8mm SMD,12x12mm Tactile Switches RoHS",kinghelm,KH-12X12X8H-SMT,"SMD,12x12mm",
1,L1,4.7uH,INDUCTOR FIXED 0302 4.7uH SMD, VIKING,PCD0302MT4R7,Non Standard ,
2,"L2,L3",220uH,INDUCTOR POWER 220UH 6X6MM 500mA SMD,CORE MASTER  ,NR6028-221M  ,Non Standard ,
1,C10,47nF,MLCC (1608) 0603 47nF 50VDC ±10% X7R,SAMSUNG,CL10B473KB8NNNC,C_0603,
8,"H1,H2,H3,H4,H5,H6,H7,H8",MountingHole,Mounting Hole without connection,,,,Excluded from BOM
1,R43,100k,RES 100kΩ ±1% 100mW 0603,YAGEO,RC0603FR-07100KL  ,R_0603,
3,"R3,R32,R33",10K,RES 10kΩ ±5% 100mW 0603,FOJAN,FRC0603J103TS,R_0603,
1,R26,1K,RES 1kΩ ±5% 100mW 0603,VO,SCR0603J1K,R0603,
1,R41,220k,RES 220kΩ ±1% 100mW 0603,PANASONIC,ERJ3EKF2203V,R_0603,
2,"R42,R44",27k,RES 27kΩ ±1% 100mW 0603,PANASONIC,ERJ3EKF2702V,R_0603,
1,R99,330R,RES 330Ω ±5% 100mW 0603,FOJAN,FRC0603J331 TS,R_0603,
8,"R87,R88,R89,R90,R91,R92,R93,R94",33R,RES 33Ω ±5% 100mW 0603,YAGEO,RC0603JR-0733RL,R_0603,
1,R39,10K,RES.(1608) 0603 10K Ohms 1% 1/4W AUTOMOTIV,ROYALOHM,PS03W4F1002T5E,R_0603,
1,R40,20k,RES.(1608) 0603 20K Ohms 1% 1/10W-S 100PPM,ROYALOHM,0603SAF2002T5E,R_0603,
4,"R95,R96,R97,R98",33R,RES.(1608) 0603 33 Ohms 1% 1/10W-S 200PPM,ROYALOHM,0603SAF330JT5E,R_0603,
1,R38,91K,RES.(1608) 0603 91K Ohms 1% 1/10W-S 100PPM,ROYALOHM,0603SAF9102T5E,R_0603,
2,"R35,R36",1R,RES.(2012) 0805 1 Ohms 1%,PANASONIC,ERJ6RQF1R0V,R_0805,
1,R34,27R,RES.(6432) 2512 27 Ohms 1% 2W,ROYALOHM,HP122WF270JT4E,R_2512,
1,JP1,SolderJumper_2_Open,"Solder Jumper, 2-pole, open",,,,Excluded from BOM
1,J3,Conn_ARM_SWD_TagConnect_TC2030-NL,"Tag-Connect ARM Cortex SWD JTAG connector, 6 pin, no legs",,,,Excluded from BOM
1,C25,100nF,X7R 100nF 50V ±10% 0603 Multilayer Ceramic,YAGEO,CC0603KRX7R9BB104 ,C_0603,
