Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,4.7uF,
C10,0603,1,47nF,
C11,0603,1,220nF,
"C12, C13, C17, C18, C21, C23, C24, C25, C3, C4, C5, C6",0603,12,100nF,
"C14, C2",0603,2,1uF,
"C15, C16",0805,2,10uF,
"C19, C20",0603,2,10pF,
C22,CP_Elec_8x10,1,100uF,
C28,CP_Elec_8x10,1,470uf/16V,
C7,0603,1,2.2uF,
"C8, C9",0603,2,15pF,
D11,LED_D3.0mm,1,Led_Green,
D2,D_SMA,1,SMAJ40CA-HT,
D3,D_SMA,1,SS28,
IC1,LQFP-64_10x10mm_P0.5mm,1,R7FA2L1AB3CFM,
J1,Samtec_HPM-02-01-x-S_Straight_1x02_Pitch5.08mm,1,L-KLS8-2170-13,
"J10, J9",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04,
J2,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
J4,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Counter_Clockwise,
L1,L_APV_ANR5012,1,4.7uH,
"L2, L3",L_APV_ANR6028,2,220uH,
L4,L_CommonMode_50474C_7.5x5.9mm,1,Choke_Wurth_WE-CNSW_744232090,
R26,0603,1,1K,
"R3, R32, R33, R39",0603,4,10K,
R34,2512,1,27R,
"R35, R36",0805,2,1R,
R38,0603,1,90K,
R40,0603,1,20k,
"R41, R43",0603,2,220k,
"R42, R44",0603,2,27k,
"R87, R88, R89, R90, R91, R92, R93, R94, R95, R96, R97, R98",0603,12,33R,
R99,0603,1,330R,
SW1,SW_SPST_CK_RS282G05A3,1,SW_Push,
SW2,SW_SPST_Omron_B3FS-100xP,1,SW_Push,
U1,QFN40_485AU-01_ONS,1,NCN5130MNTWG,
Y1,Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm,1,20Mhz,
Y2,Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm,1,16Mhz,
