Designator,Mid X,Mid Y,Rotation,Layer
C1,101.6,-73.1,0.0,top
C10,138.95,-90.84,0.0,top
C11,141.91,-91.06,270.0,top
C12,137.71,-92.61,0.0,top
C13,141.95,-91.3,180.0,bottom
C14,143.92,-91.06,90.0,top
C15,155.6,-82.4,90.0,top
C16,155.6,-87.52,270.0,top
C17,136.02,-80.29,0.0,top
C18,131.75,-90.45,0.0,top
C19,131.75,-86.83,180.0,top
C2,122.68,-77.43,270.0,top
C20,131.75,-80.49,180.0,top
C21,114.4,-86.7,180.0,top
C22,150.22,-97.53,180.0,top
C23,117.7,-68.47,180.0,top
C24,117.34,-66.28,180.0,top
C25,145.8,-117.1,0.0,top
C28,150.4,-94.75,0.0,bottom
C3,103.35,-82.5,0.0,top
C4,107.765,-87.28,180.0,top
C5,120.84,-77.4,270.0,top
C6,112.39,-67.78,0.0,top
C7,112.41,-66.08,0.0,top
C8,101.48,-80.69,180.0,top
C9,101.48,-74.6,180.0,top
D11,137.6,-123.7,90.0,top
D2,164.52,-109.1475,90.0,top
D3,138.9775,-100.2,180.0,top
IC1,112.585,-76.87,270.0,top
J1,159.395,-124.1,90.0,top
J10,173.6075,-91.5,0.0,top
J2,124.52,-104.0,90.0,top
J4,87.055,-90.41,0.0,top
J9,81.1075,-90.425,0.0,top
L1,95.18,-78.01,270.0,top
L2,149.12,-81.55,90.0,top
L3,149.16,-88.71,270.0,top
L4,153.48,-109.1475,180.0,top
R26,137.6,-119.0,270.0,top
R3,145.825,-115.2,180.0,top
R32,114.39,-88.7,0.0,top
R33,114.4,-85.1,0.0,top
R34,139.0,-95.7,180.0,top
R35,154.9,-79.1,0.0,top
R36,154.9,-91.1,0.0,top
R38,158.09,-87.55,90.0,top
R39,158.09,-84.16,90.0,top
R40,131.75,-88.74,0.0,top
R41,129.9,-95.9,180.0,top
R42,129.9,-97.6,0.0,top
R43,169.32,-95.81,180.0,top
R44,169.3,-94.0,0.0,top
R87,92.4,-87.86,180.0,top
R88,92.4,-90.4,180.0,top
R89,92.4,-92.94,180.0,top
R90,92.4,-95.48,180.0,top
R91,94.2,-65.1,180.0,top
R92,94.2,-66.733333,180.0,top
R93,94.2,-68.366667,180.0,top
R94,94.2,-70.0,180.0,top
R95,127.225,-74.6,180.0,top
R96,127.225,-73.0,180.0,top
R97,127.225,-76.23,180.0,top
R98,127.225,-77.9,180.0,top
R99,112.1,-104.0,180.0,top
SW1,112.7,-98.5,180.0,top
SW2,145.95,-123.6,90.0,top
U1,139.34,-85.26,90.0,top
Y1,101.48,-77.645,270.0,top
Y2,131.75,-83.65,90.0,top
