Designator,Mid X,Mid Y,Rotation,Layer
C12,183.86275,-92.326667,90.0,bottom
C13,183.86275,-99.826667,90.0,bottom
C14,183.86275,-109.1775,90.0,bottom
C15,183.86275,-116.6775,90.0,bottom
C16,183.86275,-126.028334,90.0,bottom
C17,183.86275,-133.528334,90.0,bottom
C18,183.86275,-142.879167,90.0,bottom
C19,183.86275,-150.379167,90.0,bottom
C20,183.86275,-159.73,90.0,bottom
C21,183.86275,-167.23,90.0,bottom
C22,183.86275,-176.580834,90.0,bottom
C23,183.86275,-184.080834,90.0,bottom
C24,183.86275,-193.431667,90.0,bottom
C25,183.86275,-200.931667,90.0,bottom
C26,191.91525,-83.016667,270.0,bottom
C27,191.91525,-99.885953,270.0,bottom
C28,191.91525,-75.516667,270.0,bottom
C29,191.91525,-92.385953,270.0,bottom
C30,191.91525,-116.710238,270.0,bottom
C31,191.91525,-109.210238,270.0,bottom
C32,191.91525,-133.534524,270.0,bottom
C33,175.74,-250.175,180.0,bottom
C34,182.53,-250.175,180.0,bottom
C35,189.32,-250.175,180.0,bottom
C36,196.11,-250.175,180.0,bottom
C37,191.91525,-126.024524,270.0,bottom
C38,191.91525,-150.35881,270.0,bottom
C39,191.91525,-142.85881,270.0,bottom
C4,174.95155,-30.301041,270.0,top
C40,191.91525,-167.183096,270.0,bottom
C41,191.91525,-159.683096,270.0,bottom
C42,191.91525,-184.007381,270.0,bottom
C43,191.91525,-176.507381,270.0,bottom
C44,191.91525,-201.289524,270.0,bottom
C45,191.91525,-193.331667,270.0,bottom
C46,191.91525,-217.6075,270.0,bottom
C47,191.91525,-210.1075,270.0,bottom
C48,183.86275,-210.1075,90.0,bottom
C49,183.86275,-217.6075,90.0,bottom
C5,200.98275,-30.301041,270.0,top
C50,191.91525,-234.45833,270.0,bottom
C51,191.91525,-226.95833,270.0,bottom
C52,183.86275,-226.95833,90.0,bottom
C53,183.86275,-234.45833,90.0,bottom
C54,191.91525,-49.475,270.0,bottom
C55,191.91525,-41.975,270.0,bottom
C56,191.91525,-66.3333,270.0,bottom
C57,191.91525,-58.8333,270.0,bottom
C58,183.86275,-58.8333,90.0,bottom
C59,183.86275,-66.3333,90.0,bottom
C6,183.86275,-83.161667,90.0,bottom
C60,183.86275,-41.975,90.0,bottom
C61,183.86275,-49.475,90.0,bottom
C62,167.9,-245.1,270.0,bottom
C63,202.9,-250.175,180.0,bottom
C7,183.86275,-75.661667,90.0,bottom
H5,217.6,-244.075,0.0,top
H6,146.275,-245.525,0.0,top
H7,218.225,-32.975,0.0,top
H8,155.675,-33.05,0.0,top
J1,141.80275,-79.221667,270.0,top
J10,187.51,-23.5,90.0,top
J11,234.362599,-79.501667,90.0,top
J12,234.362599,-96.325953,90.0,top
J13,234.362599,-113.150238,90.0,top
J14,234.362599,-129.974524,90.0,top
J15,234.362599,-146.79881,90.0,top
J16,234.362599,-163.623096,90.0,top
J17,234.362599,-180.447381,90.0,top
J18,234.362599,-197.271667,90.0,top
J19,234.362599,-213.8725,90.0,top
J2,141.80275,-96.045953,270.0,top
J20,141.80275,-213.8425,270.0,top
J21,234.362599,-230.72333,90.0,top
J22,141.80275,-230.69333,270.0,top
J23,234.362599,-45.74,90.0,top
J24,234.362599,-62.5983,90.0,top
J25,141.80275,-62.5683,270.0,top
J26,141.80275,-45.71,270.0,top
J3,141.80275,-112.870238,270.0,top
J4,141.80275,-129.694524,270.0,top
J5,141.80275,-146.51881,270.0,top
J6,141.80275,-163.343096,270.0,top
J7,141.80275,-180.167381,270.0,top
J8,141.80275,-196.991667,270.0,top
J9,187.69184,-254.0,90.0,top
K1,162.34275,-79.236667,180.0,top
K10,162.53275,-197.006667,180.0,top
K11,213.65275,-79.441667,0.0,top
K12,213.65275,-96.310953,0.0,top
K13,213.65275,-113.135238,0.0,top
K14,213.65275,-129.959524,0.0,top
K15,213.65275,-146.78381,0.0,top
K16,213.65275,-163.608096,0.0,top
K17,213.65275,-180.432381,0.0,top
K18,213.65275,-197.256667,0.0,top
K19,213.71395,-213.8575,0.0,top
K20,162.57395,-213.8575,180.0,top
K21,213.71395,-230.70833,0.0,top
K22,162.57395,-230.70833,180.0,top
K23,213.65275,-45.725,0.0,top
K24,213.65275,-62.5833,0.0,top
K25,162.28155,-62.5833,180.0,top
K26,162.28155,-45.725,180.0,top
K4,162.53275,-95.901667,180.0,top
K5,162.53275,-112.7525,180.0,top
K6,162.53275,-129.603334,180.0,top
K7,162.53275,-146.454167,180.0,top
K8,162.53275,-163.305,180.0,top
K9,162.53275,-180.155834,180.0,top
Q18,180.60275,-92.151667,180.0,bottom
Q19,180.60275,-99.651667,180.0,bottom
Q20,180.60275,-109.0025,180.0,bottom
Q21,180.60275,-116.5025,180.0,bottom
Q22,180.60275,-125.853334,180.0,bottom
Q23,180.60275,-133.353334,180.0,bottom
Q24,180.60275,-142.704167,180.0,bottom
Q25,180.60275,-150.204167,180.0,bottom
Q26,180.60275,-159.555,180.0,bottom
Q27,180.60275,-167.055,180.0,bottom
Q28,180.60275,-176.405834,180.0,bottom
Q29,180.60275,-183.905834,180.0,bottom
Q3,180.60275,-82.986667,180.0,bottom
Q30,180.60275,-193.256667,180.0,bottom
Q31,180.60275,-200.756667,180.0,bottom
Q32,178.75,-32.801041,180.0,bottom
Q33,195.42525,-83.191667,0.0,bottom
Q34,195.42525,-100.060953,0.0,bottom
Q35,195.42525,-75.691667,0.0,bottom
Q36,195.42525,-92.560953,0.0,bottom
Q37,195.42525,-116.885238,0.0,bottom
Q38,195.42525,-109.385238,0.0,bottom
Q39,195.42525,-133.709524,0.0,bottom
Q4,180.60275,-75.486667,180.0,bottom
Q40,195.42525,-126.199524,0.0,bottom
Q41,195.42525,-150.53381,0.0,bottom
Q42,195.42525,-143.03381,0.0,bottom
Q43,195.42525,-167.358096,0.0,bottom
Q44,195.42525,-159.858096,0.0,bottom
Q45,195.42525,-184.182381,0.0,bottom
Q46,195.42525,-176.682381,0.0,bottom
Q47,195.06275,-201.464524,0.0,bottom
Q48,195.06275,-193.506667,0.0,bottom
Q49,195.06275,-217.6075,0.0,bottom
Q50,195.06275,-210.1075,0.0,bottom
Q51,180.59275,-210.1075,180.0,bottom
Q52,180.59275,-217.6075,180.0,bottom
Q53,195.06275,-234.45833,0.0,bottom
Q54,195.06275,-226.95833,0.0,bottom
Q55,180.59275,-226.95833,180.0,bottom
Q56,180.59275,-234.45833,180.0,bottom
Q57,195.42525,-49.475,0.0,bottom
Q58,195.42525,-41.975,0.0,bottom
Q59,195.42525,-66.3333,0.0,bottom
Q60,195.42525,-58.8333,0.0,bottom
Q61,180.61275,-58.8333,180.0,bottom
Q62,180.61275,-66.3333,180.0,bottom
Q63,180.61275,-41.975,180.0,bottom
Q64,180.61275,-49.475,180.0,bottom
R100,191.03025,-119.340953,0.0,bottom
R101,190.14525,-116.760238,270.0,bottom
R102,190.14525,-109.260238,270.0,bottom
R103,191.03025,-128.794524,0.0,bottom
R104,191.03025,-136.239167,0.0,bottom
R105,190.14525,-133.584524,270.0,bottom
R106,190.14525,-126.074524,270.0,bottom
R107,191.03025,-145.524524,0.0,bottom
R108,191.03025,-153.137381,0.0,bottom
R109,190.14525,-150.40881,270.0,bottom
R110,190.14525,-142.90881,270.0,bottom
R111,191.03025,-162.644524,0.0,bottom
R112,191.03025,-170.035595,0.0,bottom
R113,190.14525,-167.233096,270.0,bottom
R114,190.14525,-159.733096,270.0,bottom
R115,191.03025,-179.684524,0.0,bottom
R116,191.03025,-186.93381,0.0,bottom
R117,190.14525,-184.057381,270.0,bottom
R118,190.14525,-176.557381,270.0,bottom
R119,191.03025,-195.854524,0.0,bottom
R120,191.03025,-203.832024,0.0,bottom
R121,190.14525,-201.339524,270.0,bottom
R122,190.14525,-193.381667,270.0,bottom
R123,191.91525,-212.875,180.0,bottom
R124,191.925,-220.375,180.0,bottom
