Designator,Footprint,Quantity,Value,LCSC Part #
"C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C6, C7",0603,16,100nF,
"C33, C34",0603,2,100nF/50V,
"C4, C5",CP_Elec_10x10,2,1000uf/16V,
"J1, J2, J3, J4, J5, J6, J7, J8",DG129-7.62-02P-14-00AH,8,DG129-7.62-02P-14-00AH,
"J10, J9",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04,
"Q18, Q19, Q20, Q21, Q22, Q23, Q24, Q25, Q26, Q27, Q28, Q29, Q3, Q30, Q31, Q32, Q4",SOT-23,17,2N7002,
"R1, R2, R3, R4, R5, R6, R7, R8",RELAY9-500X1142_618,8,HF115F-L/12-HS3L2TF,
"R32, R35, R58, R59, R62, R63, R66, R67, R70, R71, R74, R75, R78, R79, R82, R83, R84, R85",0603,18,10K,
"R33, R34, R56, R57, R60, R61, R64, R65, R68, R69, R72, R73, R76, R77, R80, R81",0603,16,1K,
R86,0603,1,0R,
"R87, R88, R89, R90",0603,4,33R,
"U15, U17",TSSOP-16_4.4x5mm_P0.65mm,2,"74HC595PW,118",
Z2,D_MiniMELF,1,6.8V,
