Designator,Mid X,Mid Y,Rotation,Layer
C12,72.4,-74.7375,270.0,bottom
C13,72.4,-67.11,270.0,bottom
C14,72.4,-92.37,270.0,bottom
C15,72.4,-84.87,270.0,bottom
C16,72.4,-110.13,270.0,bottom
C17,72.4,-102.63,270.0,bottom
C18,65.25,-102.63,90.0,bottom
C19,65.25,-110.13,90.0,bottom
C20,65.25,-84.87,90.0,bottom
C21,65.25,-92.37,90.0,bottom
C22,65.25,-67.1125,90.0,bottom
C23,65.25,-74.7101,90.0,bottom
C24,65.25,-49.35,90.0,bottom
C25,65.25,-56.85,90.0,bottom
C33,69.25,-120.2,270.0,bottom
C34,61.525,-118.8,270.0,bottom
C4,57.9,-39.325,90.0,top
C5,82.2825,-40.25,0.0,top
C6,72.4,-49.35,270.0,bottom
C7,72.4,-56.85,270.0,bottom
J1,113.14,-53.115,90.0,top
J10,69.775,-35.3,90.0,top
J2,113.14,-70.875,90.0,top
J3,113.14,-88.635,90.0,top
J4,113.14,-106.395,90.0,top
J5,24.55,-106.365,270.0,top
J6,24.55,-88.605,270.0,top
J7,24.55,-70.845,270.0,top
J8,24.55,-53.085,270.0,top
J9,68.7,-127.8,90.0,top
Q18,75.8,-74.65,0.0,bottom
Q19,75.8,-67.0225,0.0,bottom
Q20,75.8,-92.2825,0.0,bottom
Q21,75.8,-84.7825,0.0,bottom
Q22,75.8,-110.0425,0.0,bottom
Q23,75.8,-102.5425,0.0,bottom
Q24,61.7625,-102.7175,180.0,bottom
Q25,61.7625,-110.2175,180.0,bottom
Q26,61.7625,-84.9575,180.0,bottom
Q27,61.7625,-92.4575,180.0,bottom
Q28,61.7625,-67.2,180.0,bottom
Q29,61.7625,-74.7,180.0,bottom
Q3,75.8,-49.2625,0.0,bottom
Q30,61.7625,-49.4375,180.0,bottom
Q31,61.7625,-56.9375,180.0,bottom
Q32,58.9125,-43.27175,90.0,bottom
Q4,75.8,-56.7625,0.0,bottom
R1,92.37,-53.1,0.0,top
R2,92.37,-70.86,0.0,top
R3,92.37,-88.62,0.0,top
R32,70.2,-49.35,270.0,bottom
R33,71.3,-52.3,0.0,bottom
R34,71.3,-59.8,0.0,bottom
R35,70.2,-56.85,270.0,bottom
R4,92.37,-106.38,0.0,top
R5,45.23,-106.38,180.0,top
R56,71.3,-70.5,0.0,bottom
R57,71.3,-77.9,0.0,bottom
R58,70.2,-74.7375,270.0,bottom
R59,70.2,-67.11,270.0,bottom
R6,45.08,-88.62,180.0,top
R60,71.3,-87.9,180.0,bottom
R61,71.3,-95.4,0.0,bottom
R62,70.2,-92.37,270.0,bottom
R63,70.2,-84.87,270.0,bottom
R64,71.3,-105.6,180.0,bottom
R65,71.3,-113.1,180.0,bottom
R66,70.2,-110.13,270.0,bottom
R67,70.2,-102.63,270.0,bottom
R68,66.4,-107.2,0.0,bottom
R69,66.4,-99.6,0.0,bottom
R7,45.08,-70.86,180.0,top
R70,67.5,-102.63,90.0,bottom
R71,67.5,-110.13,90.0,bottom
R72,66.4,-89.3,0.0,bottom
R73,66.3,-81.9,0.0,bottom
R74,67.5,-84.87,90.0,bottom
R75,67.5,-92.37,90.0,bottom
R76,66.4,-71.7,0.0,bottom
R77,66.4,-64.1,0.0,bottom
R78,67.5,-67.1125,90.0,bottom
R79,67.5,-74.7375,90.0,bottom
R8,45.08,-53.1,180.0,top
R80,66.4,-53.7,180.0,bottom
R81,66.3,-46.4,180.0,bottom
R82,67.5,-49.35,90.0,bottom
R83,67.5,-56.85,90.0,bottom
R84,62.3,-42.7,90.0,bottom
R85,58.775,-39.47175,180.0,bottom
R86,79.05,-35.325,0.0,bottom
R87,62.15,-127.0,90.0,bottom
R88,66.6,-125.2,180.0,bottom
R89,70.9,-125.2,180.0,bottom
R90,75.2,-127.0,90.0,bottom
U15,73.0,-118.8125,180.0,bottom
U17,65.25,-118.8125,180.0,bottom
Z2,64.125,-39.525,0.0,bottom
