Designator,Footprint,Quantity,Value,LCSC Part #
"C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C37, C38, C39, C40, C41, C42, C43, C44, C45, C6, C7",0603,32,100nF,
"C33, C34, C35, C36",0603,4,100nF/50V,
C4_2,CP_Radial_D12.5mm_P5.00mm,1,1500uf/35V,
"C4, C5",CP_Elec_10x10,2,1000uf/16V,
C5_2,CP_Radial_D12.5mm_P5.00mm,1,1500/35V,
"J1, J11, J12, J13, J14, J15, J16, J17, J18, J2, J3, J4, J5, J6, J7, J8",DG129-7.62-02P-14-00AH,16,DG129-7.62-02P-14-00AH,
"J10, J9",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04,
"K1, K10, K11, K12, K13, K14, K15, K16, K17, K18, K4, K5, K6, K7, K8, K9",RELAY9-500X1142_618,16,HF115F-L/12-HS3L2TF,
"Q18, Q19, Q20, Q21, Q22, Q23, Q24, Q25, Q26, Q27, Q28, Q29, Q3, Q30, Q31, Q32, Q33, Q34, Q35, Q36, Q37, Q38, Q39, Q4, Q40, Q41, Q42, Q43, Q44, Q45, Q46, Q47, Q48",SOT-23,33,2N7002,
"R100, R103, R104, R107, R108, R111, R112, R115, R116, R119, R120, R33, R34, R56, R57, R60, R61, R64, R65, R68, R69, R72, R73, R76, R77, R80, R81, R91, R92, R93, R94, R99",0603,32,1K,
"R101, R102, R105, R106, R109, R110, R113, R114, R117, R118, R121, R122, R32, R35, R58, R59, R62, R63, R66, R67, R70, R71, R74, R75, R78, R79, R82, R83, R84, R85, R95, R96, R97, R98",0603,34,10K,
R86,0603,1,0R,
"R87, R88, R89, R90",0603,4,33R,
"U15, U16, U17, U18",TSSOP-16_4.4x5mm_P0.65mm,4,"74HC595PW,118",
Z2,D_MiniMELF,1,6.8V,
