Designator,Mid X,Mid Y,Rotation,Layer
C12,183.86275,-92.326667,90.0,bottom
C13,183.86275,-99.826667,90.0,bottom
C14,183.86275,-109.1775,90.0,bottom
C15,183.86275,-116.6775,90.0,bottom
C16,183.86275,-126.028334,90.0,bottom
C17,183.86275,-133.528334,90.0,bottom
C18,183.86275,-142.879167,90.0,bottom
C19,183.86275,-150.379167,90.0,bottom
C20,183.86275,-159.73,90.0,bottom
C21,183.86275,-167.23,90.0,bottom
C22,183.86275,-176.580834,90.0,bottom
C23,183.86275,-184.080834,90.0,bottom
C24,183.86275,-193.431667,90.0,bottom
C25,183.86275,-200.931667,90.0,bottom
C26,191.91525,-83.016667,270.0,bottom
C27,191.91525,-99.885953,270.0,bottom
C28,191.91525,-75.516667,270.0,bottom
C29,191.91525,-92.385953,270.0,bottom
C30,191.91525,-116.710238,270.0,bottom
C31,191.91525,-109.210238,270.0,bottom
C32,191.91525,-133.534524,270.0,bottom
C33,177.851007,-210.23,270.0,top
C34,191.111007,-210.23,270.0,top
C35,183.721007,-210.23,270.0,top
C36,196.931007,-210.23,270.0,top
C37,191.91525,-126.024524,270.0,bottom
C38,191.91525,-150.35881,270.0,bottom
C39,191.91525,-142.85881,270.0,bottom
C4_2,175.66,-63.258541,270.0,top
C4,200.0425,-64.275,0.0,top
C40,191.91525,-167.183096,270.0,bottom
C41,191.91525,-159.683096,270.0,bottom
C42,191.91525,-184.007381,270.0,bottom
C43,191.91525,-176.507381,270.0,bottom
C44,191.91525,-201.289524,270.0,bottom
C45,191.91525,-193.331667,270.0,bottom
C5_2,200.133959,-64.275,180.0,top
C5,175.66,-63.35,90.0,top
C6,183.86275,-83.161667,90.0,bottom
C7,183.86275,-75.661667,90.0,bottom
H5,220.175,-213.025,0.0,top
H6,154.2,-213.025,0.0,top
H7,220.175,-63.05,0.0,top
H8,154.2,-62.95,0.0,top
J1,141.80275,-79.221667,270.0,top
J10,187.535,-59.325,90.0,top
J11,234.362599,-79.501667,90.0,top
J12,234.362599,-96.325953,90.0,top
J13,234.362599,-113.150238,90.0,top
J14,234.362599,-129.974524,90.0,top
J15,234.362599,-146.79881,90.0,top
J16,234.362599,-163.623096,90.0,top
J17,234.362599,-180.447381,90.0,top
J18,234.362599,-197.271667,90.0,top
J2,141.80275,-96.045953,270.0,top
J3,141.80275,-112.870238,270.0,top
J4,141.80275,-129.694524,270.0,top
J5,141.80275,-146.51881,270.0,top
J6,141.80275,-163.343096,270.0,top
J7,141.80275,-180.167381,270.0,top
J8,141.80275,-196.991667,270.0,top
J9,187.69184,-218.7,90.0,top
K1,162.34275,-79.236667,180.0,top
K10,162.53275,-197.006667,180.0,top
K11,213.65275,-79.441667,0.0,top
K12,213.65275,-96.310953,0.0,top
K13,213.65275,-113.135238,0.0,top
K14,213.65275,-129.959524,0.0,top
K15,213.65275,-146.78381,0.0,top
K16,213.65275,-163.608096,0.0,top
K17,213.65275,-180.432381,0.0,top
K18,213.65275,-197.256667,0.0,top
K4,162.53275,-95.901667,180.0,top
K5,162.53275,-112.7525,180.0,top
K6,162.53275,-129.603334,180.0,top
K7,162.53275,-146.454167,180.0,top
K8,162.53275,-163.305,180.0,top
K9,162.53275,-180.155834,180.0,top
Q18,180.60275,-92.151667,180.0,bottom
Q19,180.60275,-99.651667,180.0,bottom
Q20,180.60275,-109.0025,180.0,bottom
Q21,180.60275,-116.5025,180.0,bottom
Q22,180.60275,-125.853334,180.0,bottom
Q23,180.60275,-133.353334,180.0,bottom
Q24,180.60275,-142.704167,180.0,bottom
Q25,180.60275,-150.204167,180.0,bottom
Q26,180.60275,-159.555,180.0,bottom
Q27,180.60275,-167.055,180.0,bottom
Q28,180.60275,-176.405834,180.0,bottom
Q29,180.60275,-183.905834,180.0,bottom
Q3,180.60275,-82.986667,180.0,bottom
Q30,180.60275,-193.256667,180.0,bottom
Q31,180.60275,-200.756667,180.0,bottom
Q32,177.25,-68.525,180.0,bottom
Q33,195.42525,-83.191667,0.0,bottom
Q34,195.42525,-100.060953,0.0,bottom
Q35,195.42525,-75.691667,0.0,bottom
Q36,195.42525,-92.560953,0.0,bottom
Q37,195.42525,-116.885238,0.0,bottom
Q38,195.42525,-109.385238,0.0,bottom
Q39,195.42525,-133.709524,0.0,bottom
Q4,180.60275,-75.486667,180.0,bottom
Q40,195.42525,-126.199524,0.0,bottom
Q41,195.42525,-150.53381,0.0,bottom
Q42,195.42525,-143.03381,0.0,bottom
Q43,195.42525,-167.358096,0.0,bottom
Q44,195.42525,-159.858096,0.0,bottom
Q45,195.42525,-184.182381,0.0,bottom
Q46,195.42525,-176.682381,0.0,bottom
Q47,195.17525,-201.464524,0.0,bottom
Q48,195.06275,-193.506667,0.0,bottom
R100,191.03025,-119.340953,0.0,bottom
R101,190.14525,-116.760238,270.0,bottom
R102,190.14525,-109.260238,270.0,bottom
R103,191.03025,-128.794524,0.0,bottom
R104,191.03025,-136.239167,0.0,bottom
R105,190.14525,-133.584524,270.0,bottom
R106,190.14525,-126.074524,270.0,bottom
R107,191.03025,-145.524524,0.0,bottom
R108,191.03025,-153.137381,0.0,bottom
R109,190.14525,-150.40881,270.0,bottom
R110,190.14525,-142.90881,270.0,bottom
R111,191.03025,-162.644524,0.0,bottom
R112,191.03025,-170.035595,0.0,bottom
R113,190.14525,-167.233096,270.0,bottom
R114,190.14525,-159.733096,270.0,bottom
R115,191.03025,-179.684524,0.0,bottom
R116,191.03025,-186.93381,0.0,bottom
R117,190.14525,-184.057381,270.0,bottom
R118,190.14525,-176.557381,270.0,bottom
R119,191.03025,-195.854524,0.0,bottom
R120,191.03025,-203.832024,0.0,bottom
R121,190.14525,-201.339524,270.0,bottom
R122,190.14525,-193.381667,270.0,bottom
R32,185.63275,-83.111667,90.0,bottom
R33,184.91275,-80.531667,180.0,bottom
R34,184.69275,-73.011667,180.0,bottom
R35,185.63275,-75.611667,90.0,bottom
R56,184.86275,-97.355953,180.0,bottom
R57,184.91275,-89.651667,180.0,bottom
R58,185.63275,-92.276667,90.0,bottom
R59,185.63275,-99.776667,90.0,bottom
R60,184.96275,-114.180238,180.0,bottom
R61,184.91275,-106.508334,180.0,bottom
R62,185.63275,-109.1275,90.0,bottom
R63,185.63275,-116.6275,90.0,bottom
R64,184.74775,-131.004524,180.0,bottom
R65,184.74775,-123.365,180.0,bottom
R66,185.63275,-125.978334,90.0,bottom
R67,185.63275,-133.478334,90.0,bottom
R68,184.74775,-147.82881,180.0,bottom
R69,184.74775,-140.221667,180.0,bottom
R70,185.63275,-142.829167,90.0,bottom
R71,185.63275,-150.329167,90.0,bottom
R72,184.74775,-164.653096,180.0,bottom
R73,184.74775,-157.078334,180.0,bottom
R74,185.63275,-159.68,90.0,bottom
R75,185.63275,-167.18,90.0,bottom
R76,184.74775,-181.477381,180.0,bottom
R77,184.74775,-173.935,180.0,bottom
R78,185.63275,-176.530834,90.0,bottom
R79,185.63275,-184.030834,90.0,bottom
R80,184.74775,-198.301667,180.0,bottom
R81,184.74775,-190.791667,180.0,bottom
R82,185.63275,-193.381667,90.0,bottom
R83,185.63275,-200.881667,90.0,bottom
R84,180.06,-66.725,90.0,bottom
R85,178.15,-64.35,90.0,bottom
R86,196.56,-59.325,0.0,bottom
R87,175.011007,-215.77,90.0,top
R88,176.771007,-217.27,90.0,top
R89,198.791007,-217.27,90.0,top
R90,200.651007,-215.77,90.0,top
R91,191.03025,-78.054524,0.0,bottom
R92,191.03025,-94.954524,0.0,bottom
R93,191.03025,-85.544524,0.0,bottom
R94,191.03025,-102.442738,0.0,bottom
R95,190.14525,-83.066667,270.0,bottom
R96,190.14525,-75.566667,270.0,bottom
R97,190.14525,-99.935953,270.0,bottom
R98,190.14525,-92.435953,270.0,bottom
R99,191.03025,-111.944524,0.0,bottom
U15,178.266007,-210.1625,180.0,bottom
